RBC	RBC_Score	FBC	FBC_Score
unclassified	50.5042		0
RB09	100	unclassified	44.6718
unclassified	31.2764		0
unclassified	35.5802		0
RB09	100	unclassified	49.5319
unclassified	41.7797		0
RB09	100	NB78	100
RB09	100	unclassified	44.416
RB11	100	NB06	83.7131
RB09	100	unclassified	56.25
RB10	95.7841	NB60	100
RB12	93.2942	NB64	80.9966
RB11	100	unclassified	47.619
RB09	83.9119	unclassified	38.7151
RB10	100	NB95	90.8397
RB10	100	NB68	100
RB09	73.3277	NB51	100
unclassified	30.8874		0
RB09	82.6418	NB34	86.5303
RB12	100	NB08	90.7173
RB09	78.4081	NB82	91.7019
RB10	100	unclassified	53.6958
RB11	100	NB09	90.7016
RB10	100	unclassified	49.619
RB10	90.7392	NB26	100
RB12	85.7502	NB94	100
RB11	100	NB64	100
RB11	100	NB59	91.5457
RB10	91.7587	NB07	90.7627
RB09	95.9425	unclassified	67.3435
unclassified	40.8511		0
unclassified	55.4701		0
unclassified	45.9829		0
RB12	100	NB42	100
RB09	100	NB54	100
RB09	100	unclassified	44.6323
RB12	90.6838	NB04	74.6587
unclassified	40.8511		0
RB10	90.7392	NB21	79.4118
RB09	100	NB46	91.6946
unclassified	35.5802		0
RB12	90.7795	NB28	95.7519
unclassified	42.2654		0
unclassified	31.1448		0
RB10	100	NB28	100
unclassified	58.9831		0
unclassified	48.0981		0
unclassified	50.5042		0
RB09	89.011	unclassified	49.4088
unclassified	64.8603		0
RB09	94.9196	unclassified	47.8849
RB09	100	NB30	91.5469
unclassified	40.5748		0
RB12	84.912	NB61	95.9356
RB10	100	NB29	76.4805
RB10	100	NB91	100
RB12	81.6429	unclassified	49.6622
RB12	100	NB61	100
unclassified	40.8511		0
unclassified	44.1801		0
RB10	100	unclassified	40.5405
RB11	78.4746	NB59	84.8847
RB09	100	NB31	90.6859
RB12	91.6239	unclassified	43.4378
RB12	76.6136	unclassified	44.6594
unclassified	42.2654		0
unclassified	42.4809		0
RB09	100	NB35	100
unclassified	41.9574		0
RB11	100	unclassified	49.4505
